,State,VEP_Counted,VEP,Minor,Cast,VAP,Democrat,Republican,Year,Counted,Type,Treatment,White,Black,Hispanic,American Indian/Alaska Native,Asian,Native Hawaiian/Other Pacific Islander,Two Or More Races,Total,Footnotes,OtherRace
159,Missouri,34.8%,"4,518,767","3,504",,"4,706,349","629,425","939,270",2016,"1,572,199",Primary,,4708400.0,666800.0,236700.0,24900.0,112300.0,7200.0,141700.0,5898000.0,,
160,North Carolina,31.6%,"7,266,734","5,819",,"7,816,113","1,142,916","1,149,530",2016,"2,298,265",Primary,,6255500.0,2069000.0,905300.0,103800.0,267100.0,5500.0,223800.0,9829900.0,,
161,Ohio,37.5%,"8,738,019","4,043",,"9,004,337","1,259,754","2,014,396",2016,"3,278,193",Primary,,8975800.0,1365400.0,402900.0,13100.0,225000.0,3200.0,293300.0,11278700.0,,
162,Arizona,23.5%,"4,659,373",880,,"5,268,830","468,461","625,770",2016,"1,095,111",Primary,,3754900.0,270000.0,2087500.0,266700.0,213600.0,11600.0,156600.0,6760900.0,,
163,Idaho,21.9%,"1,149,007",,,"1,234,566","23,884",,2016,"251,080",Caucus,1.0,1362500.0,8600.0,202200.0,18900.0,22700.0,,33300.0,1650700.0,,
164,Utah,14.3%,"1,963,474",,,"2,113,180","81,606","200,000",2016,"281,606",Caucus,,2361900.0,29400.0,413000.0,22800.0,70500.0,28400.0,73200.0,2999300.0,,
165,Alaska,6.2%,"520,731",,,"553,484","10,600",,2016,"32,530",Caucus,,439200.0,20700.0,47800.0,107200.0,42600.0,8800.0,48600.0,714900.0,,
166,Hawaii,4.6%,"1,025,208",,,"1,127,205","33,716",,2016,"47,093",Caucus,,287900.0,17600.0,139800.0,,512600.0,129600.0,275000.0,1364600.0,,
167,Washington,,"5,080,485",,,"5,624,976","230,000",,2016,,Caucus,,4949000.0,244000.0,885900.0,77300.0,577700.0,44800.0,345500.0,7124100.0,,
168,Wisconsin,49.4%,"4,282,271",,,"4,491,213","1,007,600","1,105,944",2016,"2,113,544",Primary,,4605200.0,334800.0,375000.0,45800.0,154200.0,,107000.0,5623300.0,,
169,Wyoming,,"428,411",,,"448,249","7,000",,2016,,Caucus,,482500.0,4000.0,54700.0,12800.0,5200.0,,9900.0,569400.0,,
170,New York,21.2%,"13,638,797",,,"15,635,714","1,970,900","921,771",2016,"2,892,671",Primary,,10683700.0,2727900.0,3665200.0,38800.0,1627800.0,6800.0,471300.0,19221500.0,,
171,Connecticut,21.0%,"2,579,776",,,"2,831,012","328,624","213,647",2016,"542,271",Primary,,2342200.0,340100.0,546300.0,4700.0,154900.0,,76700.0,3465100.0,,
172,Delaware,23.5%,"695,642",,,"749,184","93,640","69,892",2016,"163,532",Primary,,581900.0,191300.0,85000.0,2900.0,37300.0,,25200.0,924300.0,,
173,Maryland,32.8%,"4,190,917",,,"4,682,409","916,763","459,066",2016,"1,375,829",Primary,,3010100.0,1716500.0,575200.0,9300.0,366400.0,,176900.0,5856500.0,,
174,Pennsylvania,33.7%,"9,721,843",,,"10,131,664","1,681,427","1,594,475",2016,"3,275,902",Primary,,9553800.0,1272900.0,866000.0,16600.0,404100.0,3300.0,248000.0,12364700.0,,
175,Rhode Island,23.6%,"780,998",,,"847,454","122,458","61,614",2016,"184,072",Primary,,737600.0,56600.0,153300.0,2600.0,33500.0,,28700.0,1013900.0,,
176,Indiana,36.0%,"4,855,984",,,"5,061,304","638,779","1,110,543",2016,"1,749,322",Primary,,5129200.0,582900.0,435200.0,13500.0,133600.0,,134200.0,6431400.0,,
177,Nebraska,17.2%,"1,349,169",705,,"1,434,986","78,510","197,430",2016,"231,595",Primary,,1475200.0,81500.0,196000.0,12200.0,42300.0,,36700.0,1845000.0,,
178,West Virginia,31.1%,"1,434,982",,,"1,459,826","242,539","204,061",2016,"446,600",Primary,,1646900.0,61100.0,24300.0,2400.0,13600.0,,33000.0,1781700.0,,
179,Kentucky,21.0%,"3,265,260",,,"3,423,910","454,573",,2016,"684,240",Primary,,3652100.0,342700.0,144300.0,9300.0,60600.0,,77100.0,4287700.0,,
180,Oregon,36.0%,"2,980,345","155,253",,"3,211,041","658,102","415,103",2016,"1,073,205",Primary,,3064300.0,69800.0,510400.0,37900.0,168000.0,14500.0,149600.0,4014500.0,,
181,Washington,16.0%,"5,095,707",,,"5,641,592",,"587,152",2016,"817,152",Primary,,4949000.0,244000.0,885900.0,77300.0,577700.0,44800.0,345500.0,7124100.0,,
182,California,34.0%,"25,126,973","93,119",,"30,367,243","5,173,338","2,227,306",2016,"8,548,301",Primary,,14418700.0,2066000.0,15009300.0,121600.0,5448900.0,129900.0,1248000.0,38442400.0,,
183,Montana,35.5%,"798,787",,,"813,839","126,376","156,888",2016,"283,264",Primary,,879200.0,,35600.0,61700.0,8500.0,,27600.0,1015100.0,,
184,New Jersey,20.4%,"6,060,729",,,"6,989,532","793,548","443,062",2016,"1,236,610",Primary,,4883400.0,1090900.0,1756100.0,8200.0,833200.0,,188200.0,8762700.0,,
185,New Mexico,22.6%,"1,455,013",,,"1,592,398","216,705","104,627",2016,"328,792",Primary,,769600.0,33400.0,986700.0,174600.0,30200.0,,33500.0,2029400.0,,
186,North Dakota,0.7%,"578,789",,,"594,043","4,000",,2016,"4,000",Caucus,,619700.0,18600.0,22500.0,41400.0,5900.0,,17100.0,725900.0,,
187,South Dakota,19.9%,"634,281",,,"651,157","53,006","66,879",2016,"126,128",Primary,,691500.0,11200.0,30700.0,72900.0,12500.0,,17000.0,835800.0,,
188,District of Columbia,20.2%,"510,895",,,"563,776","100,423",,2016,"103,262",Primary,,231400.0,301700.0,71600.0,,23800.0,,15000.0,644400.0,,
189,Iowa,9.1%,"2,305,858",,,"2,433,266","176,352","32,389",2020,"208,741",Caucus,,2827889.0,109911.0,,11549.0,75083.0,3129.0,65770.0,3132499.0,,39168.0
190,New Hampshire,42.4%,"1,077,914",,,"1,109,471","300,742","156,587",2020,"457,329",Primary,,1250014.0,20516.0,,2090.0,36124.0,359.0,27890.0,1343622.0,,6629.0
191,Nevada,4.9%,"2,123,520",,,"2,415,267","104,883",,2020,"104,883",Caucus,,1935103.0,261123.0,,35845.0,234693.0,19352.0,140499.0,2922849.0,,296234.0
192,South Carolina,13.9%,"3,896,958",,,"4,072,138","539,263",,2020,"540,062",Primary,,3332986.0,1339360.0,,16686.0,75084.0,3004.0,110208.0,4955925.0,,78597.0
193,Alabama,32.4%,"3,673,641",,,"3,826,209","452,093","722,809",2020,"1,189,069",Primary,,3317453.0,1293186.0,,25576.0,64609.0,2182.0,91619.0,4864680.0,,70055.0
194,Arkansas,20.6%,"2,178,962",,,"2,324,410","228,351","244,399",2020,"448,954",Primary,,2302874.0,460970.0,,20037.0,43988.0,7969.0,75852.0,2990671.0,,78981.0
195,California,37.1%,"25,723,148","101,569",,"30,700,419","5,685,215","2,441,477",2020,"9,540,295",Primary,,23529068.0,2267875.0,,296475.0,5604339.0,153366.0,1882227.0,39148760.0,,5415410.0
196,Colorado,42.6%,"4,242,194",,,"4,547,360","958,928","681,156",2020,"1,806,325",Primary,1.0,4655584.0,227938.0,,54483.0,172695.0,8296.0,197328.0,5531141.0,,214817.0
197,Maine,29.6%,"1,080,561",,,"1,099,929","205,937","113,728",2020,"319,665",Primary,,1259217.0,17881.0,,8302.0,14917.0,318.0,29208.0,1332813.0,,2970.0
198,Massachusetts,33.7%,"5,043,097","5,779",,"5,553,077","1,418,180","277,002",2020,"1,700,961",Primary,,5360006.0,510558.0,,14493.0,442574.0,2329.0,215493.0,6830193.0,,284740.0
199,Minnesota,21.7%,"4,081,093",,,"4,357,606","744,198","140,555",2020,"884,753",Primary,1.0,4606044.0,342186.0,,58982.0,262359.0,2187.0,157767.0,5527358.0,,97833.0
200,North Carolina,28.1%,"7,695,964","6,721",,"8,258,006","1,332,382","802,527",2020,"2,164,731",Primary,,6994240.0,2179622.0,,121352.0,282264.0,6939.0,263301.0,10155624.0,,307906.0
201,Oklahoma,21.2%,"2,833,921",,,"3,018,262","304,281","295,601",2020,"599,882",Primary,,2837772.0,287959.0,,294676.0,83392.0,4471.0,303110.0,3918137.0,,106757.0
202,Tennessee,17.9%,"5,090,236",,,"5,355,171","515,167","398,045",2020,"913,212",Primary,,5166231.0,1117489.0,,17848.0,112915.0,3806.0,142134.0,6651089.0,,90666.0
203,Texas,21.0%,"18,474,747",,,"21,827,165","1,869,419","2,017,167",2020,"3,886,586",Primary,,20720689.0,3365783.0,,136061.0,1308257.0,23672.0,730499.0,27885195.0,,1600234.0
204,Utah,26.2%,"2,155,622",,,"2,309,079","220,582","344,852",2020,"565,434",Primary,,2632056.0,35862.0,,32657.0,69810.0,27096.0,89879.0,3045350.0,,157990.0
205,Vermont,39.4%,"500,210",,,"510,810","158,032","39,291",2020,"197,323",Primary,,589546.0,8058.0,,2106.0,10579.0,184.0,12078.0,624977.0,,2426.0
206,Virginia,21.4%,"6,187,283",,,"6,701,056","1,323,509",,2020,"1,323,509",Primary,,5722660.0,1613285.0,,22972.0,531503.0,5677.0,309213.0,8413774.0,,208464.0
207,Idaho,18.0%,"1,271,285",906,,"1,361,774","108,646","118,968",2020,"228,520",Primary,1.0,1527262.0,11536.0,,22790.0,23758.0,2761.0,46592.0,1687809.0,,53110.0
208,Michigan,30.8%,"7,527,525",,,"7,856,894","1,588,113","683,708",2020,"2,321,480",Primary,,7818588.0,1375424.0,,53235.0,304403.0,2979.0,283718.0,9957488.0,,119141.0
209,Mississippi,23.7%,"2,194,354",,,"2,278,489","274,391","245,381",2020,"519,772",Primary,,1751193.0,1125834.0,,13689.0,28313.0,707.0,40193.0,2988762.0,,28833.0
210,Missouri,21.2%,"4,589,763","3,483",,"4,780,820","660,083","309,211",2020,"972,777",Primary,,5008342.0,704896.0,,26952.0,116720.0,6662.0,155328.0,6090062.0,,71162.0
211,North Dakota,2.6%,"563,581",,,"583,251","14,405",,2020,"14,405",Primary,,655268.0,20445.0,,39462.0,10814.0,378.0,18306.0,752201.0,,7528.0
212,Washington,41.8%,"5,399,721",,,"6,010,939","1,558,776","695,275",2020,"2,256,488",Primary,,5545997.0,269854.0,,95048.0,607429.0,48043.0,416795.0,7294336.0,,311170.0
213,Wyoming,,"429,500",,,"446,470",,,2020,,,,532008.0,5540.0,,14053.0,4756.0,539.0,15579.0,581836.0,,9361.0
214,Arizona,12.0%,"5,114,877",,,"5,718,477","468,485",,2020,"613,355",Primary,,5364141.0,305259.0,,309580.0,228887.0,14112.0,252883.0,6946685.0,,471823.0
215,Florida,19.4%,"15,395,887",,,"17,395,575","1,738,682","1,239,784",2020,"2,991,898",Primary,,15529098.0,3316376.0,,58118.0,559168.0,12887.0,542340.0,20598139.0,,580152.0
216,Illinois,,"8,994,803",,,"9,843,348",,,2020,,Primary,,9189185.0,1824125.0,,31864.0,690822.0,4582.0,318413.0,12821497.0,,762506.0
217,Ohio,,"8,840,544",,,"9,127,853",,,2020,,Primary,,9489832.0,1438271.0,,23563.0,249741.0,3591.0,327089.0,11641879.0,,109792.0
218,Georgia,,"7,337,645",,,"8,184,325",,,2020,,Primary,,6079976.0,3239300.0,,33484.0,402501.0,6095.0,252448.0,10297484.0,,283680.0
219,North Dakota,,"563,581",,,"583,251",,,2020,,,,655268.0,20445.0,,39462.0,10814.0,378.0,18306.0,752201.0,,7528.0
220,Alaska,,"519,763",,,"551,311",,,2020,,Primary,,478834.0,24129.0,,106660.0,46556.0,8849.0,62461.0,738516.0,,11027.0
221,Hawaii,,"1,008,968",,,"1,115,139",,,2020,,Primary,,355612.0,26266.0,,2987.0,536842.0,143274.0,341756.0,1422029.0,,15292.0
222,Louisiana,,"3,369,009",,,"3,559,156",,,2020,,Primary,,2901106.0,1502916.0,,26272.0,79872.0,1468.0,91563.0,4663616.0,,60419.0
223,Wyoming,,"429,676",,,"446,650",,,2020,,Caucus,,532008.0,5540.0,,14053.0,4756.0,539.0,15579.0,581836.0,,9361.0
224,Wisconsin,,"4,363,277",,,"4,573,223",,,2020,,Primary,,4945966.0,368744.0,,50422.0,159356.0,1975.0,135990.0,5778394.0,,115941.0
225,Connecticut,,"2,598,062",,,"2,838,810",,,2020,,Primary,,2734880.0,378262.0,,9698.0,158817.0,1173.0,113430.0,3581504.0,,185244.0
226,Delaware,,"716,880",,,"776,172",,,2020,,Primary,,654905.0,209892.0,,3455.0,36723.0,477.0,26009.0,949495.0,,18034.0
227,Maryland,,"4,316,380",,,"4,721,347",,,2020,,Primary,,3373181.0,1788090.0,,15644.0,374277.0,3059.0,199369.0,6003435.0,,249815.0
228,New York,,"13,603,319",,,"15,395,670",,,2020,,Primary,,12514949.0,3068099.0,,79644.0,1630341.0,8017.0,599183.0,19618453.0,,1718220.0
229,Pennsylvania,,"9,750,695",,,"10,179,122",,,2020,,Primary,,10341442.0,1423319.0,,24847.0,427892.0,4107.0,310880.0,12791181.0,,258694.0
230,Rhode Island,,"802,987",,,"856,517",,,2020,,Primary,,854502.0,69254.0,,5484.0,35663.0,863.0,32709.0,1056611.0,,58136.0
231,Kansas,,"2,079,771",,,"2,219,423",,,2020,,Primary,,2460619.0,169801.0,,24050.0,83531.0,2143.0,101044.0,2908776.0,,67588.0
232,Indiana,,"4,977,396",,,"5,195,683",,,2020,,Primary,,5548277.0,619472.0,,14925.0,144991.0,2818.0,162295.0,6637426.0,,144648.0
233,Nebraska,,"1,376,903",,,"1,465,549",,,2020,,Primary,,1666463.0,90860.0,,17282.0,44105.0,1392.0,48600.0,1904760.0,,36058.0
234,West Virginia,,"1,400,416",,,"1,426,029",,,2020,,Primary,,1704345.0,66728.0,,3668.0,14534.0,350.0,32139.0,1829054.0,,7290.0
235,Kentucky,,"3,315,722",,,"3,473,836",,,2020,,Primary,,3866676.0,354112.0,,9888.0,62802.0,2814.0,99826.0,4440204.0,,44086.0
236,Oregon,,"3,145,726",,,"3,385,355",,,2020,,Primary,,3445933.0,77789.0,,46961.0,174510.0,16006.0,193660.0,4081943.0,,127084.0
237,District of Columbia,,"531,355",,,"580,664",,,2020,,Primary,,280469.0,321317.0,,1993.0,26718.0,340.0,20143.0,684498.0,,33518.0
238,Montana,,"835,544",,,"848,078",,,2020,,Primary,,925642.0,4630.0,,67289.0,7947.0,757.0,29435.0,1041732.0,,6032.0
239,New Jersey,,"6,171,505",,,"6,949,384",,,2020,,Primary,,6031747.0,1196764.0,,18649.0,832403.0,3357.0,230949.0,8881845.0,,567976.0
240,New Mexico,,"1,503,992",,,"1,629,960",,,2020,,Primary,,1558886.0,43006.0,,199896.0,31513.0,1514.0,67508.0,2092434.0,,190111.0
241,South Dakota,,"641,492",,,"672,685",,,2020,,Primary,,730062.0,16241.0,,75331.0,12660.0,293.0,23089.0,864289.0,,6613.0
